DATA;min;max;YEAR
01.03.2019;-2;1;2019
02.03.2019;1;3;2019
03.03.2019;6;8;2019
04.03.2019;6;8;2019
05.03.2019;2;3;2019
06.03.2019;5;6;2019
07.03.2019;8;11;2019
08.03.2019;5;5;2019
09.03.2019;5;6;2019
10.03.2019;2;4;2019
11.03.2019;1;2;2019
12.03.2019;3;4;2019
13.03.2019;5;6;2019
14.03.2019;5;6;2019
15.03.2019;3;5;2019
16.03.2019;4;5;2019
17.03.2019;6;9;2019
18.03.2019;5;6;2019
19.03.2019;1;4;2019
20.03.2019;7;9;2019
21.03.2019;8;10;2019
22.03.2019;4;6;2019
23.03.2019;5;9;2019
24.03.2019;4;6;2019
25.03.2019;3;4;2019
26.03.2019;3;3;2019
27.03.2019;6;7;2019
28.03.2019;6;9;2019
29.03.2019;8;10;2019
30.03.2019;10;13;2019
31.03.2019;4;7;2019
01.03.2020;4;8;2020
02.03.2020;5;6;2020
03.03.2020;5;7;2020
04.03.2020;1;3;2020
05.03.2020;3;6;2020
06.03.2020;2;4;2020
07.03.2020;4;5;2020
08.03.2020;3;6;2020
09.03.2020;6;7;2020
10.03.2020;7;9;2020
11.03.2020;5;6;2020
12.03.2020;3;5;2020
13.03.2020;3;5;2020
14.03.2020;-2;0;2020
15.03.2020;3;5;2020
16.03.2020;5;7;2020
17.03.2020;6;10;2020
18.03.2020;10;14;2020
19.03.2020;4;7;2020
20.03.2020;3;6;2020
21.03.2020;0;1;2020
22.03.2020;0;1;2020
23.03.2020;-1;0;2020
24.03.2020;0;4;2020
25.03.2020;1;5;2020
26.03.2020;6;8;2020
27.03.2020;5;9;2020
28.03.2020;1;8;2020
29.03.2020;0;2;2020
30.03.2020;0;3;2020
31.03.2020;-1;2;2020
01.03.2021;2;7;2021
02.03.2021;2;6;2021
03.03.2021;2;6;2021
04.03.2021;0;3;2021
05.03.2021;0;3;2021
06.03.2021;0;4;2021
07.03.2021;0;3;2021
08.03.2021;-2;2;2021
09.03.2021;-2;0;2021
10.03.2021;-2;2;2021
11.03.2021;-1;5;2021
12.03.2021;2;4;2021
13.03.2021;4;6;2021
14.03.2021;2;4;2021
15.03.2021;1;5;2021
16.03.2021;1;5;2021
17.03.2021;1;3;2021
18.03.2021;0;2;2021
19.03.2021;-2;0;2021
20.03.2021;1;1;2021
21.03.2021;1;4;2021
22.03.2021;2;5;2021
23.03.2021;3;8;2021
24.03.2021;4;8;2021
25.03.2021;3;10;2021
26.03.2021;5;11;2021
27.03.2021;5;13;2021
28.03.2021;5;7;2021
29.03.2021;7;9;2021
30.03.2021;8;15;2021
31.03.2021;8;15;2021
